Kp,Km,f,Volume,Surface Area,Projection_1,Projection_2,Projection_3,AvgR,p,K
18.0620,13.1186,0.7093,1.6755,8.0175,1.2566,3.1416,1.2566,0.7368,0.4000,16.5050
0.2909,5.5497,0.2219,2.1447,8.0425,2.0106,2.0106,2.0106,0.8000,1.0000,4.0026
3.8160,16.9987,0.2122,0.3351,2.3530,0.6283,0.5027,0.6283,0.4309,1.2500,13.4810
14.2102,4.6895,0.8257,0.7540,4.0306,0.9425,1.1310,0.9425,0.5646,0.8333,11.7249
15.2789,18.2492,0.7308,0.6032,3.8038,1.1310,0.5027,1.1310,0.5241,2.2500,16.0461
4.0556,7.9984,0.6391,0.6032,3.5608,0.7540,1.1310,0.7540,0.5241,0.6667,5.3178
18.6363,4.7423,0.2642,2.4127,8.7205,2.2619,2.0106,2.2619,0.8320,1.1250,6.8802
7.9403,3.8478,0.7673,3.0536,10.1788,2.5447,2.5447,2.5447,0.9000,1.0000,6.7489
3.0569,5.4045,0.8350,2.0358,8.0118,1.6965,2.5447,1.6965,0.7862,0.6667,3.3958
14.0346,18.2668,0.9178,1.2566,7.4202,0.9425,3.1416,0.9425,0.6694,0.3000,14.3565
11.9998,13.9873,0.0960,0.0209,0.4992,0.1571,0.0314,0.1571,0.1710,5.0000,13.7877
4.2261,17.9687,0.1774,1.6420,6.7516,1.7593,1.5394,1.7593,0.7319,1.1429,14.8829
6.9343,7.6034,0.7936,1.2064,5.5569,1.5080,1.1310,1.5080,0.6604,1.3333,7.0692
17.8433,2.4216,0.7489,0.9048,4.5239,1.1310,1.1310,1.1310,0.6000,1.0000,9.9558
12.8677,9.6130,0.0547,0.3351,2.3530,0.6283,0.5027,0.6283,0.4309,1.2500,9.7738
19.6868,2.6850,0.6602,1.6085,6.7417,1.5080,2.0106,1.5080,0.7268,0.7500,9.2694
11.8810,7.7479,0.7592,0.0754,0.8902,0.1885,0.2827,0.1885,0.2621,0.6667,10.7579
14.8744,8.5222,0.7086,0.3016,2.7399,0.3770,1.1310,0.3770,0.4160,0.3333,12.7408
18.5609,19.9553,0.8668,2.0944,8.6803,1.5708,3.1416,1.5708,0.7937,0.5000,18.7430
19.9561,2.0403,0.8237,0.6702,4.1770,1.2566,0.5027,1.2566,0.5429,2.5000,12.3683
9.9932,0.9441,0.7218,0.0670,0.8584,0.2513,0.1257,0.2513,0.2520,2.0000,4.5849
8.5437,19.3080,0.5595,0.8378,6.9101,0.6283,3.1416,0.6283,0.5848,0.2000,12.6238
15.8061,4.2171,0.9881,0.1885,1.6573,0.4712,0.2827,0.4712,0.3557,1.6667,15.5485
17.0383,0.7356,0.9099,0.0335,0.7890,0.2513,0.0314,0.2513,0.2000,8.0000,12.5582
19.8854,9.4626,0.9393,1.3404,6.1300,1.2566,2.0106,1.2566,0.6840,0.6250,19.0433
5.6838,5.0203,0.4028,0.2639,2.2094,0.6597,0.2827,0.6597,0.3979,2.3333,5.2807
2.3287,3.6863,0.0217,0.0209,0.4992,0.1571,0.0314,0.1571,0.1710,5.0000,3.6526
15.4824,0.9256,0.5917,1.6420,6.7516,1.7593,1.5394,1.7593,0.7319,1.1429,3.6771
14.5745,12.2306,0.3879,0.0754,0.8902,0.1885,0.2827,0.1885,0.2621,0.6667,13.1058
9.5414,5.7524,0.8749,0.5236,3.1416,0.7854,0.7854,0.7854,0.5000,1.0000,8.9786
1.8888,0.9668,0.7824,0.3016,2.4902,0.7540,0.2827,0.7540,0.4160,2.6667,1.6438
7.8333,2.7168,0.3447,0.1676,1.9968,0.6283,0.1257,0.6283,0.3420,5.0000,4.0272
0.4888,11.9696,0.1920,0.1047,1.7275,0.1571,0.7854,0.1571,0.2924,0.2000,8.3383
7.9395,9.1679,0.3778,1.2315,5.5803,1.3195,1.5394,1.3195,0.6649,0.8571,8.6905
11.1730,15.5876,0.2629,0.4105,3.5972,0.4398,1.5394,0.4398,0.4610,0.2857,14.3349
8.5702,14.8195,0.8331,0.6032,3.8038,1.1310,0.5027,1.1310,0.5241,2.2500,9.4854
7.9215,15.6377,0.6346,0.5236,3.1416,0.7854,0.7854,0.7854,0.5000,1.0000,10.4283
12.5944,2.8027,0.4275,0.2053,3.2683,0.2199,1.5394,0.2199,0.3659,0.1429,5.7896
10.4004,13.1236,0.4730,0.2053,3.2683,0.2199,1.5394,0.2199,0.3659,0.1429,11.7827
15.5482,19.0361,0.4288,1.8766,7.3814,1.7593,2.0106,1.7593,0.7652,0.8750,17.4865
13.3863,12.2209,0.7877,1.6420,6.7516,1.7593,1.5394,1.7593,0.7319,1.1429,13.1327
0.2099,11.4577,0.7200,0.2639,2.2094,0.6597,0.2827,0.6597,0.3979,2.3333,2.4810
7.4908,19.3687,0.5706,1.4368,6.1575,1.5394,1.5394,1.5394,0.7000,1.0000,11.9387
19.8665,12.4357,0.6969,0.4524,3.1249,0.5655,1.1310,0.5655,0.4762,0.5000,17.3270
18.1624,5.0892,0.9588,3.3929,10.9406,2.8274,2.5447,2.8274,0.9322,1.1111,17.1970
12.0624,8.6478,0.0250,3.3510,10.9291,2.5133,3.1416,2.5133,0.9283,0.8000,8.7234
6.9681,19.7475,0.0444,0.3393,5.3110,0.2827,2.5447,0.2827,0.4327,0.1111,18.9471
10.2668,18.3004,0.1823,0.0670,1.1444,0.1257,0.5027,0.1257,0.2520,0.2500,16.6098
6.9042,17.4732,0.9362,0.9425,4.9065,1.4137,0.7854,1.4137,0.6082,1.8000,7.4469
18.5080,2.1005,0.2482,0.9425,4.9065,1.4137,0.7854,1.4137,0.6082,1.8000,3.5487
17.6028,6.4634,0.3576,0.0042,0.1257,0.0314,0.0314,0.0314,0.1000,1.0000,9.3733
10.7649,18.9613,0.5216,0.6283,3.5679,0.9425,0.7854,0.9425,0.5313,1.2000,14.3687
17.9188,1.0745,0.2967,2.5133,9.3934,1.8850,3.1416,1.8850,0.8434,0.6000,2.2012
19.4760,19.3316,0.7510,0.1005,1.2325,0.3770,0.1257,0.3770,0.2884,3.0000,19.4400
4.6190,8.9895,0.9025,0.1340,1.3889,0.2513,0.5027,0.2513,0.3175,0.5000,4.9795
3.7026,14.5489,0.2774,0.4189,2.7323,0.6283,0.7854,0.6283,0.4642,0.8000,10.8769
6.3246,11.9150,0.6890,0.2053,3.2683,0.2199,1.5394,0.2199,0.3659,0.1429,7.8202
0.2512,5.4791,0.4310,0.1676,1.9968,0.6283,0.1257,0.6283,0.3420,5.0000,2.6431
15.6885,9.2057,0.4815,0.0503,0.6766,0.1885,0.1257,0.1885,0.2289,1.5000,11.9912
6.9922,1.3765,0.3931,0.4189,6.5210,0.3142,3.1416,0.3142,0.4642,0.1000,2.9352
11.7098,4.2190,0.6086,2.4127,8.7205,2.2619,2.0106,2.2619,0.8320,1.1250,7.9220
14.8931,15.9208,0.8726,0.4189,2.7323,0.6283,0.7854,0.6283,0.4642,0.8000,15.0215
3.1747,11.4844,0.8515,0.1047,1.7275,0.1571,0.7854,0.1571,0.2924,0.2000,4.0599
5.1167,5.3947,0.8937,2.9322,10.1457,2.1991,3.1416,2.1991,0.8879,0.7000,5.1457
17.1147,15.9190,0.3622,1.8766,7.3814,1.7593,2.0106,1.7593,0.7652,0.8750,16.3453
3.3855,6.7046,0.3283,0.3393,2.7731,0.8482,0.2827,0.8482,0.4327,3.0000,5.4725
