Kp,Km,f,p,K
18.8547,16.0850,0.0476,0.4286,16.2100
8.3549,0.4882,0.0072,2.0000,0.4982
19.6610,7.4301,0.2200,2.0000,9.3396
6.0291,9.8374,0.6734,1.2500,7.1596
14.0220,9.3210,0.1319,0.6667,9.8625
13.3268,0.8343,0.7043,10.0000,6.3851
10.7825,12.3400,0.3849,0.6667,11.7246
13.9621,11.5607,0.3622,0.6000,12.3938
13.3306,5.9762,0.9626,0.3750,12.9576
3.5626,8.7133,0.0876,0.8000,8.1629
2.5603,2.7327,0.2557,0.8889,2.6879
19.9816,5.9944,0.4126,0.1667,10.3814
3.4224,15.2275,0.7039,1.2500,6.2254
0.6520,0.7061,0.7480,0.8889,0.6654
11.2240,5.3900,0.0374,0.8571,5.5522
17.6373,19.9254,0.7813,0.5000,18.1224
13.3835,8.9389,0.3170,3.5000,10.2096
3.8087,3.0557,0.4144,0.5000,3.3536
7.3783,17.7246,0.0879,0.2222,16.5693
9.2145,0.6276,0.3494,5.0000,1.7443
19.6328,2.3207,0.1294,1.0000,3.0287
3.1281,5.0171,0.3043,9.0000,4.3837
17.1105,15.1935,0.9462,1.1429,17.0033
12.8953,17.9662,0.7701,0.5556,13.9735
7.5254,4.4684,0.8213,1.2500,6.8811
3.8185,13.4660,0.1148,1.3333,12.0590
8.5651,16.3757,0.2033,2.0000,14.5519
9.6404,18.9786,0.5926,0.3000,13.0036
2.4122,17.4863,0.0107,0.6667,17.2589
11.7901,7.8747,0.2718,0.2000,8.8350
4.5238,18.7392,0.6609,1.1111,8.4620
7.6924,8.7379,0.2007,1.0000,8.5211
11.6597,3.2505,0.6857,0.7143,7.8037
5.0361,6.1964,0.1073,0.7500,6.0646
5.8088,13.6222,0.4470,1.0000,9.7167
12.3418,18.6811,0.1270,0.1250,17.7719
5.3056,18.9478,0.5198,0.9000,10.9320
16.4875,11.9817,0.2568,9.0000,13.0446
19.6533,18.9775,0.1599,2.0000,19.0845
14.6050,8.0804,0.4217,0.3333,10.4871
6.8775,0.8206,0.5587,7.0000,2.8957
11.6814,5.8765,0.3007,1.2000,7.2958
2.1554,0.6388,0.7356,1.0000,1.5613
18.1262,17.2903,0.3402,1.0000,17.5716
17.5931,8.6509,0.0447,2.0000,8.9540
16.3552,1.8562,0.4082,1.3333,4.2122
5.2146,2.7558,0.3222,0.8000,3.4155
11.8871,4.8394,0.3583,0.7500,6.7690
0.4503,4.4602,0.0542,0.1667,4.0720
8.5052,17.3548,0.7485,2.0000,10.4281
6.2544,15.2835,0.0797,0.3333,14.3816
3.2297,6.8943,0.2925,5.0000,5.6565
3.5753,7.6956,0.4166,1.0000,5.7797
8.4577,11.8973,0.6998,0.3333,9.4152
1.8846,10.7024,0.2291,0.8750,8.1382
11.9705,6.6711,0.7990,0.6667,10.6936
9.4185,17.0937,0.7608,0.7143,11.0360
13.9190,5.3129,0.3408,1.0000,7.4756
13.9978,18.6788,0.2310,4.0000,17.5210
12.7706,7.7967,0.7088,2.6667,11.1235
0.6721,13.6613,0.4064,1.0000,7.1586
1.3761,5.5002,0.9450,1.0000,1.5487
6.3920,0.5592,0.6537,0.5556,2.3672
10.6173,18.8123,0.1034,0.1429,17.8083
13.0889,10.6794,0.7808,1.3333,12.5303
8.1524,13.4235,0.6975,1.4286,9.5946
16.3996,12.1507,0.1078,1.5000,12.5657
14.3672,15.0175,0.2063,1.4000,14.8817
19.3730,19.6264,0.9335,4.0000,19.3898
10.6267,14.5534,0.2047,1.3333,13.6875
6.5029,17.1464,0.0405,3.0000,16.6009
2.1126,19.8369,0.5424,3.3333,8.5389
12.2192,15.1892,0.0044,1.8000,15.1753
15.5760,2.9208,0.5759,0.5000,7.5919
8.4691,6.5261,0.4461,1.0000,7.3478
1.8165,0.5757,0.8465,3.5000,1.5343
5.3294,13.8910,0.5934,10.0000,8.2955
3.0731,19.1751,0.0533,0.5000,17.9756
5.6201,14.5809,0.6876,0.5000,7.9770
8.8017,14.7351,0.1286,3.0000,13.8669
10.5429,3.4922,0.9415,1.5000,9.8838
9.1485,7.1082,0.0390,0.8333,7.1810
17.5074,11.4930,0.7055,0.5714,15.5317
10.3610,9.1989,0.7658,0.6667,10.0802
18.8725,16.6745,0.7011,0.8333,18.1956
12.7542,16.3089,0.3948,0.2000,14.8367
19.1539,6.4790,0.8935,1.0000,17.0691
4.8141,9.2337,0.4697,3.0000,6.9572
13.5224,13.4792,0.6156,0.1667,13.5058
5.7813,11.9045,0.1307,0.2500,10.9394
13.4362,2.6877,0.8353,1.1667,10.0545
13.9028,0.3898,0.4468,0.4000,1.3762
1.3599,2.5022,0.9216,0.9000,1.4366
5.0958,4.4655,0.7704,1.0000,4.9459
4.4808,8.9827,0.2151,0.1250,7.8223
13.3567,10.6906,0.1413,4.0000,11.0428
16.8878,19.8078,0.1130,0.7778,19.4629
6.8892,14.3469,0.2247,10.0000,12.3854
15.6104,19.6011,0.2219,1.4286,18.6661
13.5066,1.0748,0.2220,0.8000,1.7711
0.1343,12.7375,0.4471,5.0000,5.6218
12.0434,19.2076,0.3097,1.0000,16.7805
7.7354,5.3985,0.8182,0.1429,7.2674
18.3198,18.9881,0.5873,0.6000,18.5937
0.0230,18.0447,0.8712,0.2857,1.3815
9.2490,3.8930,0.7355,0.4000,7.4375
8.4870,14.6790,0.7021,0.5000,10.1358
9.2183,3.4972,0.8543,1.5000,8.0309
15.4032,2.1028,0.1339,1.7500,2.7599
6.4494,6.2823,0.1285,0.1000,6.3036
15.6948,6.9753,0.4574,1.6000,10.2394
9.4271,7.9792,0.2895,8.0000,8.3816
0.7153,5.6783,0.6709,3.0000,1.9633
3.5175,6.2782,0.2317,1.2500,5.5573
14.4352,14.3656,0.2090,0.2222,14.3801
9.4697,18.8929,0.6099,0.2222,12.6787
3.0544,1.7558,0.6123,0.4000,2.4850
6.8225,5.5907,0.9950,3.3333,6.8159
12.1478,11.9232,0.9898,0.4000,12.1455
3.8349,16.5687,0.7228,0.2500,6.4576
14.7685,15.6431,0.8284,0.5000,14.9163
4.8570,11.1448,0.3656,0.9000,8.5345
18.3485,0.7255,0.1461,1.2500,1.0549
5.3812,13.3874,0.7825,1.8000,6.8326
15.3100,16.9798,0.6464,0.1667,15.8873
3.7732,1.3093,0.9915,1.7500,3.7397
5.7500,7.2153,0.7750,0.6000,6.0619
1.8223,5.1610,0.9704,0.7500,1.9000
11.5242,8.6519,0.1459,1.1111,9.0347
13.6673,6.1214,0.7181,0.6250,10.9880
10.9319,19.3318,0.2875,1.0000,16.6391
8.5146,2.5987,0.6031,2.0000,5.3760
12.8889,4.3487,0.4681,0.1429,7.5776
12.9524,17.8679,0.5686,0.2222,14.9485
13.5803,12.4341,0.9153,1.2857,13.4806
12.7157,7.9632,0.4166,0.5000,9.7423
18.9035,7.1218,0.0888,1.3333,7.8200
4.1787,12.9315,0.7675,9.0000,5.7984
14.1856,14.6618,0.3721,1.0000,14.4834
4.7246,14.6340,0.4885,2.5000,9.1273
2.3879,19.1635,0.2929,1.1667,12.9685
12.1461,0.9191,0.6122,0.3000,4.1321
9.0028,8.4872,0.8492,3.5000,8.9237
9.1745,0.1803,0.6386,1.0000,1.0000
13.2389,14.0761,0.4979,1.0000,13.6551
15.4057,15.6178,0.9216,8.0000,15.4223
7.0044,11.2968,0.3472,0.7778,9.6718
13.2402,0.4659,0.0221,2.0000,0.4981
8.3232,0.1513,0.0483,7.0000,0.2093
16.8386,19.7794,0.7962,1.0000,17.4142
16.6583,4.0329,0.9709,1.0000,15.9295
5.1288,16.4668,0.7417,0.2500,7.4021
12.2692,7.2190,0.2788,0.5000,8.4295
11.6450,9.2251,0.7141,0.4000,10.9119
10.8148,2.2009,0.0981,1.1250,2.5897
17.3988,15.6252,0.9140,0.3333,17.2411
5.2956,9.0689,0.7847,0.6000,6.0155
6.3615,5.9420,0.1518,1.8000,6.0045
2.3843,7.1680,0.4211,2.5000,4.8398
18.7966,9.6487,0.9548,10.0000,18.2751
12.9110,8.6245,0.1895,1.2000,9.3407
9.5893,13.9765,0.2734,0.6000,12.6771
12.7863,13.5013,0.0538,1.4000,13.4622
10.8943,0.1374,0.1484,1.0000,0.2062
12.9462,1.5798,0.0805,3.3333,1.9220
10.8777,9.2125,0.7115,0.5000,10.3773
14.4209,15.5507,0.0700,2.5000,15.4698
10.4499,16.3353,0.5241,0.8889,13.0634
19.8741,12.6278,0.7782,1.0000,18.0371
4.3735,7.2975,0.0715,1.2500,7.0588
2.1160,17.7500,0.6613,0.6667,6.2366
2.1939,5.0185,0.4349,1.0000,3.6445
1.2718,1.3224,0.3942,1.1667,1.3023
8.0916,14.5430,0.6044,1.1667,10.4013
8.9675,15.3360,0.9963,4.0000,8.9875
7.3163,17.9665,0.1278,1.5000,16.3183
15.2701,15.3365,0.1980,0.4000,15.3233
12.5579,18.9377,0.8878,2.0000,13.2006
15.4396,10.7147,0.0602,0.2000,10.9673
18.6571,19.1956,0.0833,3.0000,19.1504
19.4548,19.5638,0.5858,1.3333,19.4999
3.8406,10.4420,0.0379,0.8000,10.1276
2.7775,16.9072,0.1035,1.2500,14.9538
13.9253,17.9605,0.3992,1.6667,16.2735
1.8764,18.6246,0.5377,0.2000,7.3391
10.5081,9.1528,0.2159,2.2500,9.4345
10.6069,15.1832,0.3857,0.8750,13.3021
17.2228,18.7759,0.9138,0.6000,17.3533
9.6971,16.2140,0.3621,0.6000,13.6299
7.8691,18.6078,0.5417,0.3750,12.1736
13.4286,8.9391,0.1828,1.6667,9.6620
14.8252,16.6777,0.3415,5.0000,16.0290
10.4010,19.7556,0.8513,2.0000,11.5968
6.9543,7.3928,0.9643,1.7500,6.9696
2.9999,3.4153,0.5367,0.6667,3.1881
11.7218,16.4633,0.8876,0.4000,12.2073
5.2429,11.7411,0.7497,1.6667,6.6298
0.8891,19.2322,0.1397,0.3333,15.3493
